"Time (s)","X (hPa)"
1.884012532E2,1.015659790E3
1.894654972E2,1.015706940E3
1.905297812E2,1.015739365E3
1.915940212E2,1.015761185E3
1.926582402E2,1.015790253E3
1.937225012E2,1.015790253E3
1.947867542E2,1.015783386E3
1.958510122E2,1.015770111E3
1.969152912E2,1.015765686E3
1.979795712E2,1.015765686E3
1.990438342E2,1.015778961E3
2.001080692E2,1.015778961E3
2.011723142E2,1.015776825E3
2.022365952E2,1.015756607E3
2.033009122E2,1.015741425E3
2.043652282E2,1.015733261E3
2.054295582E2,1.015729446E3
2.064937962E2,1.015718079E3
2.075580352E2,1.015714569E3
2.086222642E2,1.015708237E3
2.096864882E2,1.015683365E3
2.107506842E2,1.015678024E3
2.118148672E2,1.015678024E3
2.128790572E2,1.015698700E3
2.139432522E2,1.015728226E3
2.150073882E2,1.015765457E3
2.160715472E2,1.015809708E3
2.171357102E2,1.015823364E3
2.181998812E2,1.015823364E3
2.192640112E2,1.015812836E3
2.203281742E2,1.015792694E3
2.213924112E2,1.015759735E3
2.224566952E2,1.015737610E3
2.235209702E2,1.015726318E3
2.245852622E2,1.015726318E3
2.256494962E2,1.015728607E3
2.267137372E2,1.015756378E3
2.277779582E2,1.015782700E3
2.288422052E2,1.015798950E3
2.299064872E2,1.015806656E3
2.309706902E2,1.015806656E3
2.320348822E2,1.015801697E3
2.330991422E2,1.015789261E3
2.341634042E2,1.015783310E3
2.352276702E2,1.015780792E3
2.362919222E2,1.015780792E3
2.373561812E2,1.015800171E3
2.384204132E2,1.015822449E3
2.394846682E2,1.015838928E3
2.405489492E2,1.015838928E3
2.416132252E2,1.015814514E3
2.426775252E2,1.015770264E3
2.437418162E2,1.015733719E3
2.448060802E2,1.015706787E3
2.458703312E2,1.015685272E3
2.469345592E2,1.015653915E3
2.479988042E2,1.015646515E3
2.490631002E2,1.015646515E3
2.501273222E2,1.015655975E3
2.511915392E2,1.015674362E3
2.522557772E2,1.015721512E3
2.533200242E2,1.015762939E3
2.543842402E2,1.015770721E3
2.554484532E2,1.015770721E3
2.565126702E2,1.015764771E3
2.575768502E2,1.015764008E3
2.586410432E2,1.015761032E3
2.597052472E2,1.015752792E3
2.607694302E2,1.015751572E3
2.618335972E2,1.015751572E3
2.628977772E2,1.015742493E3
2.639619852E2,1.015742493E3
2.650262112E2,1.015747986E3
2.660905022E2,1.015747986E3
2.671548072E2,1.015743561E3
2.682190972E2,1.015742111E3
2.692833542E2,1.015738754E3
2.703476702E2,1.015735779E3
2.714119662E2,1.015718994E3
2.724762632E2,1.015716858E3
2.735405722E2,1.015716858E3
2.746048552E2,1.015718307E3
2.756691932E2,1.015718307E3
2.767334742E2,1.015714951E3
2.777977642E2,1.015706787E3
2.788620602E2,1.015693054E3
2.799263212E2,1.015665817E3
2.809905692E2,1.015639343E3
2.820548232E2,1.015637894E3
2.831190052E2,1.015631790E3
2.841832012E2,1.015627747E3
2.852474392E2,1.015627747E3
2.863117082E2,1.015641098E3
2.873759522E2,1.015641098E3
2.884402342E2,1.015628204E3
2.895045392E2,1.015628204E3
2.905688382E2,1.015628204E3
