"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.554892099E1,5.232701307E1,4.975436771E0,-7.733760104E-1,3.199569215E0,4.985325184E1,4.669934859E0,3.246506519E0
8.654892039E1,5.232703163E1,4.975470533E0,-9.845719635E-1,3.164033890E0,4.969465821E1,4.769981180E0,3.419482030E0
8.754891956E1,5.232705089E1,4.975492609E0,-1.387155944E0,2.851225452E0,4.737721287E1,4.824419533E0,3.345001637E0
8.854891896E1,5.232707243E1,4.975513416E0,-1.792686748E0,2.728386640E0,4.268290860E1,4.898869509E0,3.387374983E0
8.954891872E1,5.232709836E1,4.975547504E0,-1.224600499E0,3.014265189E0,4.239013653E1,4.976079416E0,3.489593696E0
9.054891777E1,5.232711687E1,4.975569932E0,-1.933504864E0,2.862751802E0,4.169663021E1,4.891913041E0,3.366867687E0
9.154891694E1,5.232713485E1,4.975597984E0,-1.826200274E0,2.772711549E0,4.244584527E1,4.839085119E0,3.267822749E0
9.254891610E1,5.232715265E1,4.975634364E0,-1.628069623E0,2.931491176E0,4.569309495E1,4.799967449E0,3.406347553E0
9.354891551E1,5.232716864E1,4.975671136E0,-8.911452899E-1,2.956262486E0,4.940337286E1,4.814186521E0,3.563688753E0
9.454891360E1,5.232718389E1,4.975697637E0,-1.032835305E0,2.720560521E0,4.773033248E1,4.915515337E0,3.611010645E0
9.554891360E1,5.232720825E1,4.975722299E0,-1.913169527E0,2.805957538E0,4.210506188E1,4.976742912E0,3.420680140E0
9.654891300E1,5.232722627E1,4.975752465E0,-5.291283093E-1,2.824756953E0,4.202137073E1,4.951990514E0,3.204395875E0
9.754891109E1,5.232724563E1,4.975785519E0,-1.069576801E0,2.976793057E0,4.178338859E1,5.005314528E0,3.189804494E0
9.854891109E1,5.232727513E1,4.975820515E0,-9.519591359E-1,3.432080465E0,4.018921144E1,5.033718928E0,3.183461175E0
9.954891050E1,5.232729022E1,4.975827859E0,-3.916030899E-1,2.624801204E0,3.700891460E1,5.006645794E0,3.220762929E0
1.005489095E2,5.232731516E1,4.975848853E0,-1.457234818E0,2.761983911E0,3.467956904E1,4.984725100E0,3.157294521E0
1.015489085E2,5.232733683E1,4.975880246E0,-1.452114400E0,2.876472055E0,3.683398008E1,4.997895361E0,3.195117942E0
1.025489076E2,5.232735093E1,4.975911325E0,-1.531582436E0,2.756410649E0,3.881430529E1,4.942025460E0,3.147763982E0
1.035489066E2,5.232737519E1,4.975943304E0,-6.246789861E-1,3.051267960E0,3.572176977E1,4.968318402E0,3.188165251E0
1.045489064E2,5.232740276E1,4.975954444E0,-4.430139745E-1,3.076379062E0,2.607862545E1,5.033156126E0,3.146878276E0
1.055489056E2,5.232742095E1,4.975962884E0,-1.275248272E0,2.832969602E0,2.107482107E1,5.080346918E0,3.221856614E0
1.065489049E2,5.232744551E1,4.975967898E0,-1.623746757E0,2.780650892E0,1.304001688E1,5.259187221E0,3.330600857E0
1.075489033E2,5.232746814E1,4.975978279E0,-1.833432029E0,2.720960134E0,1.381100600E1,5.286278214E0,3.333223164E0
1.085489029E2,5.232748889E1,4.975990009E0,-1.581968824E0,2.642614306E0,1.436358193E1,5.207240227E0,3.602446409E0
1.095489018E2,5.232751552E1,4.976006728E0,-8.480136236E-1,2.825332483E0,1.325130718E1,5.131983618E0,3.614349969E0
1.105489005E2,5.232753737E1,4.976002016E0,-1.690210088E0,2.685038351E0,7.523438755E0,5.134554512E0,3.606256883E0
1.115489004E2,5.232756428E1,4.976016984E0,-1.456136881E0,2.870677141E0,8.189963856E0,5.115626354E0,3.383365904E0
1.125488987E2,5.232757134E1,4.976051204E0,-1.371964832E0,2.269631062E0,2.875171716E1,5.133702741E0,3.543379725E0
1.135488981E2,5.232759497E1,4.976064480E0,-1.852377156E0,2.479134893E0,2.602407534E1,5.175021059E0,3.612879423E0
1.145488973E2,5.232762221E1,4.976075836E0,-2.875651824E0,2.693323067E0,2.302880371E1,5.133835961E0,3.537393192E0
1.155488964E2,5.232764928E1,4.976115967E0,-2.220244839E0,3.196017879E0,3.492238043E1,5.172118090E0,3.525896524E0
1.165488955E2,5.232766775E1,4.976120383E0,-1.964914758E0,2.680209176E0,2.731597823E1,5.236251538E0,3.512849058E0
1.175488951E2,5.232768685E1,4.976143154E0,-1.881049125E0,2.692513377E0,3.505936801E1,5.198494796E0,3.536770786E0
1.185488942E2,5.232770600E1,4.976171844E0,-2.068573402E0,2.871295604E0,4.218807596E1,5.198292706E0,3.611428339E0
