"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.444423625E0,1.012630844E1,2.081540298E1,1.674055862E1
3.464277625E0,9.905368805E0,2.038572311E1,1.666376495E1
3.484131625E0,9.812355042E0,2.064038467E1,1.704396820E1
3.503986625E0,9.815750122E0,2.066236877E1,1.699510956E1
3.523840625E0,9.692516327E0,2.071586990E1,1.699754715E1
3.543694625E0,9.653423309E0,2.075878525E1,1.669257736E1
3.563548625E0,9.954315186E0,2.071489334E1,1.629177094E1
3.583402625E0,9.297401428E0,2.091035080E1,1.665340042E1
3.603257625E0,9.552211761E0,2.086448288E1,1.638970947E1
3.623111625E0,9.698181152E0,2.089258957E1,1.650580978E1
3.642965625E0,9.688079834E0,2.071074677E1,1.714196777E1
3.662819625E0,1.022486877E1,2.119688034E1,1.736372375E1
3.682673625E0,9.764499664E0,2.089078140E1,1.706309128E1
3.702528625E0,1.005230331E1,2.129124832E1,1.769104004E1
3.722382625E0,1.081084061E1,2.124109268E1,1.832316208E1
3.742236625E0,1.097628784E1,2.148960876E1,1.848340225E1
3.762090625E0,1.104307938E1,2.157387924E1,1.841405869E1
3.781944625E0,1.081427383E1,2.140219498E1,1.924565506E1
3.801799625E0,1.074958038E1,2.142446136E1,1.912371826E1
3.821653625E0,1.074168396E1,2.128433609E1,1.923159027E1
3.841507625E0,1.100693512E1,2.144221878E1,1.903258514E1
3.861361625E0,1.111568069E1,2.159764099E1,1.886770630E1
3.881216625E0,1.103490067E1,2.154780960E1,1.871709824E1
3.901070625E0,1.106720734E1,2.160028839E1,1.891675949E1
3.920924625E0,1.125864029E1,2.134756470E1,1.915097809E1
3.940778625E0,1.108145142E1,2.153580093E1,1.891464233E1
3.960632625E0,1.089191818E1,2.145446777E1,1.877677917E1
3.980487625E0,1.102309036E1,2.135186768E1,1.880010605E1
4.000341625E0,1.083327866E1,2.139248276E1,1.872878265E1
4.020195625E0,1.092422485E1,2.141606522E1,1.902803040E1
4.040049625E0,1.122497940E1,2.158085632E1,1.881860733E1
4.059904625E0,1.110415649E1,2.139326477E1,1.920092392E1
4.079758625E0,1.105427933E1,2.151671600E1,1.887119293E1
4.099612625E0,1.085373306E1,2.147056961E1,1.892958450E1
4.119466625E0,1.095797729E1,2.123546982E1,1.885973740E1
4.139320625E0,1.101874924E1,2.130180740E1,1.898625183E1
4.159175625E0,1.110291290E1,2.143285370E1,1.882739258E1
4.179029625E0,1.071541977E1,2.127818680E1,1.908990860E1
4.198883625E0,1.091199493E1,2.137936020E1,1.878687286E1
4.218737625E0,1.097555161E1,2.142221832E1,1.862297440E1
4.238591625E0,1.102039337E1,2.147835541E1,1.919312286E1
4.258446625E0,1.114254761E1,2.164310455E1,1.947149658E1
4.278300625E0,1.124682236E1,2.166405869E1,1.903674698E1
